protein,_pdbx_database_status.recvd_initial_deposition_date ,_entity_src_gen.pdbx_gene_src_scientific_name ,_entity_src_gen.pdbx_gene_src_ncbi_taxonomy_id ,_entity_src_gen.pdbx_host_org_scientific_name ,_entity_src_gen.pdbx_host_org_ncbi_taxonomy_id ,_exptl_crystal.density_Matthews ,_exptl_crystal.density_percent_sol ,_exptl_crystal_grow.pH ,_exptl_crystal_grow.temp ,_diffrn.ambient_temp ,_diffrn_detector.pdbx_collection_date ,_diffrn_radiation_wavelength.wavelength ,_reflns.d_resolution_high ,_reflns.d_resolution_low ,_reflns.pdbx_redundancy ,_refine.ls_d_res_high ,_refine.ls_d_res_low ,_refine.ls_R_factor_obs ,_refine.ls_R_factor_R_free ,_refine.ls_R_factor_R_work ,_refine.pdbx_ls_cross_valid_method ,_refine.pdbx_method_to_determine_struct ,_refine.pdbx_solvent_vdw_probe_radii ,_refine.pdbx_solvent_shrinkage_radii ,_refine_hist.d_res_high ,_refine_hist.d_res_low ,_refine_hist.pdbx_number_atoms_protein ,_refine_hist.pdbx_number_atoms_ligand ,_refine_hist.number_atoms_solvent 
5hkl,2016-01-14,'MYCOBACTERIUM TUBERCULOSIS (STRAIN ATCC 25618 / H37RV)',83332,'ESCHERICHIA COLI BL21(DE3)',469008,2.30,46.52,,277.15,100,2015-02-13,0.90,1.899,49.21,3.2,1.899,53.85,0.15786,0.19506,0.15582,THROUGHOUT,'MOLECULAR REPLACEMENT',1.20,0.80,1.899,53.85,2546,5,208
3wy8,2014-08-20,'ARTHROBACTER NICOTINOVORANS',29320,'ESCHERICHIA COLI',562,2.00,38.48,7.5,293,100,2009-12-22,1.000,1.7,50,22.2,1.70,29.74,0.15502,0.18103,0.15361,THROUGHOUT,'MOLECULAR REPLACEMENT',1.40,0.80,1.70,29.74,1606,0,288
2hx5,2006-08-02,'PROCHLOROCOCCUS MARINUS',74547,'ESCHERICHIA COLI',562,2.44,49.19,6.5,277,100,2006-06-17,.,1.500,27.853,,1.500,27.853,,0.182,0.155,THROUGHOUT,SAD,1.200,0.800,1.500,27.853,1169,12,142
2f4q,2005-11-23,'DEINOCOCCUS RADIODURANS',1299,'ESCHERICHIA COLI BL21',511693,2.41,48.95,6.5,283,100.,2004-07-02,.9768,1.75,27.5,6.3,1.75,27.5,0.1992,0.23079,0.19749,THROUGHOUT,SAD,1.20,0.80,1.75,27.5,2458,0,341
4mo9,2013-09-11,'VEILLONELLA PARVULA',479436,'ESCHERICHIA COLI',511693,2.25,45.31,8.5,289,100,2013-04-22,0.97987,1.93,50,5.8,1.925,36.361,0.168,0.199,0.166,THROUGHOUT,SAD,1.11,0.90,1.925,36.361,2755,11,198
5eqv,2015-11-13,'YERSINIA PESTIS CO92',214092,'ESCHERICHIA COLI BL21(DE3)',469008,2.38,48.42,6.5,295,100,2015-10-19,0.97856,1.45,30.00,12.6,1.45,29.91,0.13301,0.15302,0.13195,THROUGHOUT,'MOLECULAR REPLACEMENT',1.20,0.80,1.45,29.91,2592,36,629
5v00,2017-02-27,'PSEUDOMONAS FLUORESCENS (STRAIN SBW25)',216595,'ESCHERICHIA COLI',562,3.52,65.08,,291,110,2008-08-08,1.5418,1.790,74.8500,9.300,1.8000,74.8500,0.1684,0.1958,0.1670,THROUGHOUT,'MOLECULAR REPLACEMENT',1.2000,0.8000,1.8000,74.8500,2835,42,402
5t05,2016-08-15,,,,,2.85,56.83,7.5,293,100,2016-02-11,1.0,1.95,50,6.2,1.952,38.487,0.1786,0.2120,0.1779,THROUGHOUT,'MOLECULAR REPLACEMENT',1.11,0.90,1.952,38.487,10488,443,1067
1pxz,2003-07-07,,,,,2.56,58.91,5.5,277,100,2002-11-13,0.900,1.7,100.0,3.2,1.70,100.00,0.1931,0.241,0.1925,'FREE R',MIR,,,1.70,100.00,5290,0,701
4p3a,2014-03-06,'MUS MUSCULUS',10090,'ESCHERICHIA COLI',562,2.45,49.78,3.7,277,100,2013-02-25,0.9792,1.400,50,4.2,1.4000,36.8890,0.1457,0.1740,0.1442,'FREE R-VALUE','MOLECULAR REPLACEMENT',1.1100,0.9000,1.4000,36.8890,,48,333
2bo4,2005-04-07,'RHODOTHERMUS MARINUS',29549,'ESCHERICHIA COLI',562,5.5,79,,,100.0,,0.9783,1.950,40.000,3.000,1.95,20.00,0.177,0.192,0.176,THROUGHOUT,SAD,1.40,0.80,1.95,20.00,18824,78,1767
1ocy,2003-02-11,'BACTERIOPHAGE T4',10665,'ESCHERICHIA COLI',562,3.4,64,5.60,,100.0,2002-09-13,0.9464,1.500,15.000,6.560,1.50,15.000,,0.1516,0.1434,THROUGHOUT,SIRAS,,,1.50,15.000,1537,24,516
2hsj,2006-07-21,'STREPTOCOCCUS PNEUMONIAE',170187,'ESCHERICHIA COLI BL21',511693,2.10,41.43,8.5,291,100,2005-04-19,,1.5,40.46,,1.50,40.46,0.16161,0.19311,0.15996,THROUGHOUT,MAD,1.20,0.80,1.50,40.46,6843,61,1266
2c60,2005-11-04,'HOMO SAPIENS',9606,'ESCHERICHIA COLI BL21(DE3)',469008,2.1,42.1,,,100.0,2005-10-22,0.9718,1.250,29.320,5.780,1.25,39.72,0.166,0.182,0.165,THROUGHOUT,SAD,1.20,0.80,1.25,39.72,676,7,128
4f55,2012-05-11,'BACILLUS CEREUS',226900,'ESCHERICHIA COLI',511693,3.66,66.35,5.3,277,100,2011-01-01,1.075,1.85,50,47.1,1.85,47.74,0.18121,0.21172,0.17964,THROUGHOUT,SAD,1.40,0.80,1.85,47.74,983,15,151
4p98,2014-04-02,'CONEXIBACTER WOESEI',469383,'ESCHERICHIA COLI',469008,3.33,63.02,8.5,289,100,2013-08-19,0.91975,1.900,50.000,13.900,1.9000,24.6800,0.1592,0.2031,0.1569,THROUGHOUT,.,1.2000,0.8000,1.9000,24.6800,,22,280
4h41,2012-09-14,'BACTEROIDES THETAIOTAOMICRON',226186,'ESCHERICHIA COLI',562,2.18,43.58,6.0,277,100,2011-07-22,0.97895,1.80,29.135,12.700,1.8000,29.135,0.1343,0.1580,0.1331,THROUGHOUT,SAD,,,1.8000,29.135,7899,250,797
2r47,2007-08-30,'METHANOTHERMOBACTER THERMAUTOTROPHICUS',187420,'ESCHERICHIA COLI BL21(DE3)',469008,3.78,67.46,5.6,294,100,2006-06-19,0.97920,1.88,34.8,6.600,1.880,34.800,0.1936,0.2207,0.1922,THROUGHOUT,,1.200,0.800,1.880,34.800,5993,25,499
5u1h,2016-11-28,,208964,'ESCHERICHIA COLI',469008,2.09,41.10,4.,294,100,2016-10-14,0.97856,1.500,31.230,5.000,1.5000,31.2320,0.1674,0.1997,0.1664,'FREE R-VALUE','MOLECULAR REPLACEMENT',1.1100,0.9000,1.5000,31.2320,3758,150,762
5d8v,2015-08-18,,,,,1.82,32.30,4.0,293,100,2009-02-23,0.45086,0.48,20,5.4,0.48,20.00,,0.078,0.072,'FREE R-VALUE','MOLECULAR REPLACEMENT',,,0.48,20.00,616,51,180
3u3z,2011-10-06,'HOMO SAPIENS',9606,'ESCHERICHIA COLI',469008,2.14,42.65,7.6,295,100.0,2010-02-25,0.9795,1.500,50.0,3.0,1.50,23.79,0.129,0.171,0.129,,'MOLECULAR REPLACEMENT',1.11,0.90,1.50,23.79,1510,12,279
5hwe,2016-01-29,'RHODOCOCCUS ERYTHROPOLIS',1833,'ESCHERICHIA COLI',511693,2.13,42.15,6.5,293,100,2014-03-21,0.95370,1.707,41.5,7.2,1.71,41.50,0.15289,0.19447,0.15078,THROUGHOUT,'MOLECULAR REPLACEMENT',1.20,0.80,1.71,41.50,2742,19,295
3q7m,2011-01-05,'ESCHERICHIA COLI',562,'ESCHERICHIA COLI',562,2.54,51.53,7.0,298,100,2010-08-08,,1.65,50,5.1,1.651,19.378,0.1645,0.1925,0.1633,,MAD,1.10,0.83,1.651,19.378,2535,0,331
4wjt,2014-10-01,'BACILLUS SUBTILIS SUBSP. SUBTILIS STR. 168',224308,'ESCHERICHIA COLI BL21(DE3)',469008,2.07,40.57,6.0,289,100,2013-03-19,0.9795,1.21,36.37,3.2,1.21,72.74,0.11235,0.14434,0.11070,THROUGHOUT,'MOLECULAR REPLACEMENT',1.20,0.80,1.21,72.74,2296,59,371
3gb5,2009-02-18,'MUS MUSCULUS',10090,'SPODOPTERA FRUGIPERDA',7108,2.32,47.04,4.5,293,100,2008-04-04,1.653,2.00,50.0,,2.000,50.000,0.169,0.189,0.167,THROUGHOUT,SAD,1.200,0.800,2.000,50.000,1479,44,132
3ch4,2008-03-07,'HOMO SAPIENS',9606,'ESCHERICHIA COLI',562,1.89,34.77,7.6,288,100,2007-11-29,1.5418,1.76,8,9.8,1.76,8,0.199,0.221,0.199,THROUGHOUT,SAD,,,1.76,8,1515,10,164
1esi,2000-04-10,'STREPTOMYCES SP.',1958,'STREPTOMYCES LIVIDANS TK24',457428,2.02,39.11,7.2,293,100,1998-10-21,1.375,1.80,22.19,3.8,1.80,8.00,0.1810000,0.2330000,0.1810000,,,,,1.80,8.00,1910,0,104
2p6h,2007-03-18,'AEROPYRUM PERNIX',56636,'ESCHERICHIA COLI',562,2.57,52.08,7.5,291,100,2006-09-30,1.5418,1.95,40.0,5.3,1.95,29.37,0.192,0.203,0.192,THROUGHOUT,'MOLECULAR REPLACEMENT',,,1.95,29.37,2086,30,189
5u19,2016-11-28,'MICROMONOSPORA ECHINOSPORA',1877,'ESCHERICHIA COLI BL21(DE3)',469008,2.21,44.30,,291,293,2016-08-17,0.97,1.902,47.05,2.0,1.9020,47.0500,0.1856,0.2189,0.1840,'FREE R-VALUE','MOLECULAR REPLACEMENT',1.1100,0.9000,1.9020,47.0500,2397,60,123
5urp,2017-02-12,'PAENIBACILLUS LARVAE',1464,'ESCHERICHIA COLI',469008,2.44,49.60,,294,100,2015-08-15,0.979,1.65,49.09,6,1.650,49.09,0.1731,0.1996,0.1716,'FREE R-VALUE','MOLECULAR REPLACEMENT',1.11,0.90,1.650,49.09,1613,6,162
4f8l,2012-05-17,,,,,2.22,44.52,4.2,298,100,2010-11-01,0.9,1.499,50.000,4.800,1.50,27.08,0.141,0.182,0.139,,SIRAS,1.30,1.11,1.50,27.08,1073,76,146
3wa2,2013-04-22,'ARTHROBACTER GLOBIFORMIS',1665,'ESCHERICHIA COLI',562,3.04,59.55,6.8,289,100,2010-05-19,0.9,1.080,100.000,4.100,1.08,31.97,0.131,0.150,0.130,,'MOLECULAR REPLACEMENT',,,1.08,31.97,4876,216,905
2d1s,2005-08-31,'LUCIOLA CRUCIATA',7051,'ESCHERICHIA COLI',562,2.26,45.2,7.8,293,90,2002-04-08,1.02,1.3,60,4.0,1.30,60,0.18115,0.2008,0.18011,THROUGHOUT,'FOURIER SYNTHESIS',1.40,0.80,1.30,60,4127,42,794
1lcf,1994-01-11,'HOMO SAPIENS',9606,,,2.79,55.87,,,,,.,,,,2.0,8.0,0.193,,,,,,,2.0,8.0,5313,26,325
4u9h,2014-08-06,,,,,2.34,47.42,,283,100,2011-12-13,0.91841,0.89,52.9,8.2,0.890,37.636,0.0960,0.1063,0.0955,'FREE R-VALUE','MOLECULAR REPLACEMENT',1.11,0.90,0.890,37.636,6173,136,911
2nwh,2006-11-14,'AGROBACTERIUM TUMEFACIENS STR.',176299,'ESCHERICHIA COLI BL21(DE3)',469008,2.59,52.44,7.5,291,100,2006-06-13,0.979,1.86,35.7,16.2,1.86,35.70,0.1966,0.2331,0.1936,THROUGHOUT,SAD,1.20,0.80,1.86,35.70,2268,4,277
5lwv,2016-09-19,,,,,3.98,69.14,,291,100,2015-09-13,0.97625,1.90,48.53,20,1.90,48.5,0.17094,0.19933,0.16943,THROUGHOUT,'MOLECULAR REPLACEMENT',1.20,0.80,1.93,48.5,5593,41,665
4ck4,2013-12-27,,,,,2.15,42.7,5.6,,100,2000-11-11,0.932,1.12,15.00,4,1.12,14.70,0.14078,0.16942,0.13926,THROUGHOUT,'MOLECULAR REPLACEMENT',1.20,0.80,1.12,14.70,2542,47,476
4p04,2014-02-20,'ESCHERICHIA COLI',562,'ESCHERICHIA COLI',562,3.71,66.84,6.5,293,100,2009-07-25,1.000,1.95,52,6.3,1.950,51.020,0.1583,0.1674,0.1503,,,1.11,0.90,,,,,
5u4u,2016-12-06,'XENOPUS LAEVIS',8355,'ESCHERICHIA COLI',469008,2.32,47.04,6.3,293,100,2016-04-06,0.97915,1.9,50,8.9,1.9000,45.13,0.183,0.217,0.181,'FREE R-VALUE','MOLECULAR REPLACEMENT',1.1100,0.9000,1.9000,45.13,1230,17,81
3g5t,2009-02-05,'SACCHAROMYCES CEREVISIAE',4932,'ESCHERICHIA COLI',562,2.52,51.13,,277,100,2008-12-10,0.97886,1.119,50.000,12.500,1.119,34.470,0.121,0.137,0.120,THROUGHOUT,SAD,1.400,0.800,1.119,34.470,4891,75,541
4d6g,2014-11-11,'STREPTOCOCCUS PNEUMONIAE',406556,'ESCHERICHIA COLI',469008,2.50,50.71,,,100,,0.98005,1.24,48.13,4.5,1.24,48.33,0.11764,0.13274,0.11685,THROUGHOUT,'MOLECULAR REPLACEMENT',1.40,0.80,1.24,48.33,4777,52,1042
5ko4,2016-06-29,'TRYPANOSOMA BRUCEI BRUCEI (STRAIN 927/4 GUTAT10.1)',185431,'ESCHERICHIA COLI',469008,2.06,40.39,6.5,293,100,2016-04-03,0.97901,1.440,50.000,6.700,1.44,41.80,0.162,0.176,0.161,THROUGHOUT,'MOLECULAR REPLACEMENT',,,1.44,41.80,1691,15,255
1lq9,2002-05-09,'STREPTOMYCES COELICOLOR',100226,'ESCHERICHIA COLI',562,2.11,41.59,7.0,293,100,2000-10-04,0.9326,1.30,20.0,15.9,1.30,20.0,,0.168,0.142,,MIRAS,,,1.30,20.0,1692,13,258
